pagina,texto,tipo,url,output_dir,archivo,ok,mensaje
Física,Física 2025-2026,gdrive,https://drive.google.com/file/d/18qaoS5fMfycdZbLl5RggFsh9YWs1kNOw/view?usp=drive_link,fisica,2025-2026 Modelo examen FÃ­sica.pdf,True,Descargado: 2025-2026 Modelo examen FÃ­sica.pdf
Física,Física 2024-2025,gdrive,https://drive.google.com/file/d/1TyVVdwUC7HePlJBkR_FRDlWGXScaX39i/view?usp=drive_link,fisica,2024-2025 Modelo de examen de FÃ­sica.pdf,True,Descargado: 2024-2025 Modelo de examen de FÃ­sica.pdf
Física,Física 2023-2024,gdrive,https://drive.google.com/file/d/1EC0L7aRLD6xM6JZKxMSyFOnNt8QFHr3w/view?usp=sharing,fisica,2023-2024 Modelo examen FÃ­sica.pdf,True,Descargado: 2023-2024 Modelo examen FÃ­sica.pdf
Física,Física 2022-2023,gdrive,https://drive.google.com/file/d/1qT5Mt4maBT9UDZJcu2WTomrBPqmQ5MGM/view?usp=sharing,fisica,2022-2023 modelo examen FÃ­sica.pdf,True,Descargado: 2022-2023 modelo examen FÃ­sica.pdf
Física,Física 2021-2022,gdrive,https://drive.google.com/file/d/1i_WlSWSe1ibi9l360h0fqiTIsDuhEbcC/view?usp=sharing,fisica,2021-2022 Modelo examen FÃ­sica.pdf,True,Descargado: 2021-2022 Modelo examen FÃ­sica.pdf
Física,Física 2020-2021,gdrive,https://drive.google.com/file/d/1TQbjSlaHbDdeK9UMtfrDWj0s0jJhGD-v/view?usp=sharing,fisica,2020-2021 Modelo examen FiÌsica.pdf,True,Descargado: 2020-2021 Modelo examen FiÌsica.pdf
Física,Física 2019-2020,gdrive,https://drive.google.com/file/d/1_nNSSD4cNAQZuuMEHzPsrYblfPdMzGXA/view?usp=sharing,fisica,2019-2020 Modelos examen FiÌsica.pdf,True,Descargado: 2019-2020 Modelos examen FiÌsica.pdf
Física,Física  2018-2019,gdrive,https://drive.google.com/file/d/1ZvVQO8s_7uRz_F3bkZ0m7IWnZJ6Rwvnx/view?usp=sharing,fisica,2018-2019 Modelo examen FiÌsica.pdf,True,Descargado: 2018-2019 Modelo examen FiÌsica.pdf
Física,Física 2017-2018,gdrive,https://drive.google.com/file/d/1c6sPZQ4K2ol83MfzIAJwdn1t6kdeZh3l/view?usp=sharing,fisica,2017-2018 Modelo examen FiÌsica.pdf,True,Descargado: 2017-2018 Modelo examen FiÌsica.pdf
Física,Física 2024-2025,gdrive,https://drive.google.com/file/d/1D8ef5lEdFMW4RXLut5TrTs7uAXv13J53/view?usp=drive_link,fisica,2024-2025 Ordinaria Soluciones FÃ­sica.pdf,True,Descargado: 2024-2025 Ordinaria Soluciones FÃ­sica.pdf
Física,Física 2023-2024,gdrive,https://drive.google.com/file/d/1MKDYQ576-06dFPufuUdpY21T1r5iOTi7/view?usp=drive_link,fisica,2023-2024 Ordinaria Soluciones FÃ­sica.pdf,True,Descargado: 2023-2024 Ordinaria Soluciones FÃ­sica.pdf
Física,Física 2022-2023 coincidencias,gdrive,https://drive.google.com/file/d/16hSKRbQjjRCy8uxJjDyZx7xrKJ3Z25DK/view?usp=drive_link,fisica,2022-2023 Ordinaria Soluciones FÃ­sica coincidencias.pdf,True,Descargado: 2022-2023 Ordinaria Soluciones FÃ­sica coincidencias.pdf
Física,Física 2022-2023,gdrive,https://drive.google.com/file/d/1z_oPPde4FRL1eiSeUIRMEO2BNpoMStUI/view?usp=drive_link,fisica,2022-2023 Ordinaria Soluciones FÃ­sica.pdf,True,Descargado: 2022-2023 Ordinaria Soluciones FÃ­sica.pdf
Física,Física 2021-2022,gdrive,https://drive.google.com/file/d/1wdvPtqzTlNXHGUZaHQIHEGBKCsHDerZQ/view?usp=sharing,fisica,2021-2022 Ordinaria Soluciones FÃ­sica.pdf,True,Descargado: 2021-2022 Ordinaria Soluciones FÃ­sica.pdf
Física,Física 2020-2021,gdrive,https://drive.google.com/file/d/1sbmZ3hHs6usoLMVXv2thBDnJNALO8KXv/view?usp=sharing,fisica,2020-2021 Ordinaria Soluciones FiÌsica.pdf,True,Descargado: 2020-2021 Ordinaria Soluciones FiÌsica.pdf
Física,Física 2020-2021 coincidencias,gdrive,https://drive.google.com/file/d/1O60SgzethRi37xanBrcURDlbGrm3Pkp_/view?usp=sharing,fisica,2020-2021 Ordinaria Soluciones FiÌsica coincidencias.pdf,True,Descargado: 2020-2021 Ordinaria Soluciones FiÌsica coincidencias.pdf
Física,Física 2019-2020,gdrive,https://drive.google.com/file/d/1hR2sb-YyCNb9se88_H_lA57LVBJzYOWm/view?usp=sharing,fisica,2019-2020 Ordinaria FiÌsica.pdf,True,Descargado: 2019-2020 Ordinaria FiÌsica.pdf
Física,Física 2018-2019,gdrive,https://drive.google.com/file/d/1kYtqdVy6HPeyzK65K_NephWKBDakLjtY/view?usp=sharing,fisica,2018-2019 Ordinaria FiÌsica.pdf,True,Descargado: 2018-2019 Ordinaria FiÌsica.pdf
Física,Física 2017-2018,gdrive,https://drive.google.com/file/d/1f78lGUuuzIsh1rt6LkOAae-ZLLkOnJW3/view?usp=sharing,fisica,2017-2018 Ordinaria FiÌsica.pdf,True,Descargado: 2017-2018 Ordinaria FiÌsica.pdf
Física,Física 2024-2025,gdrive,https://drive.google.com/file/d/1hUJXWylPmo0fwDm6dpENwm4M4R58rZkE/view?usp=drive_link,fisica,2024-2025 Extraordinaria Soluciones FÃ­sica.pdf,True,Descargado: 2024-2025 Extraordinaria Soluciones FÃ­sica.pdf
Física,Física 2023-2024,gdrive,https://drive.google.com/file/d/1wsxQw3eSt1dUs5l3RpKAM1129GNFEGZA/view?usp=drive_link,fisica,2023-2024 Extraordinaria Soluciones FÃ­sica.pdf,True,Descargado: 2023-2024 Extraordinaria Soluciones FÃ­sica.pdf
Física,Física 2022-2023,gdrive,https://drive.google.com/file/d/1ziO4gwZgEs4U7D6AkV8xIKwdlwxIPiyE/view?usp=drive_link,fisica,2022-2023 Extraordinaria Soluciones FÃ­sica.pdf,True,Descargado: 2022-2023 Extraordinaria Soluciones FÃ­sica.pdf
Física,Física 2021-2022,gdrive,https://drive.google.com/file/d/1uiu7b9j7fshuMN7lC0d0ArD4ar7c_yQt/view?usp=sharing,fisica,2021-2022 Extraordinaria Soluciones FÃ­sica.pdf,True,Descargado: 2021-2022 Extraordinaria Soluciones FÃ­sica.pdf
Física,Física 2020-2021,gdrive,https://drive.google.com/file/d/1VjWdtVu49iLXmlFQAM7xFiwBuo84ANUn/view?usp=sharing,fisica,2020-2021 Extraordinaria Soluciones FiÌsica.pdf,True,Descargado: 2020-2021 Extraordinaria Soluciones FiÌsica.pdf
Física,Física 2019-2020,gdrive,https://drive.google.com/file/d/1OeW1FeoU_yusjEJ3v7cGoUb_ybRePKTN/view?usp=sharing,fisica,2019-2020 Extraordinaria FiÌsica.pdf,True,Descargado: 2019-2020 Extraordinaria FiÌsica.pdf
Física,Física 2018-2019,gdrive,https://drive.google.com/file/d/1NDbapYg2lZbeQZjGCRCdq_n7apbN38AF/view?usp=sharing,fisica,2018-2019 Extraordinaria FiÌsica.pdf,True,Descargado: 2018-2019 Extraordinaria FiÌsica.pdf
Física,Física 2017-2018,gdrive,https://drive.google.com/file/d/1RVfbMCzdcjEVd4o3iiRadgnr_fl9tFFO/view?usp=sharing,fisica,2017-2018 Extraordinaria FiÌsica.pdf,True,Descargado: 2017-2018 Extraordinaria FiÌsica.pdf
Física,Criterios de Corrección Generales 2025-2026,gdrive,https://drive.google.com/file/d/1oJNgNfhuKd6HfMJWiy19O-6nrj4rvj6h/view?usp=drive_link,fisica,2025-2026 Criterios de CorrecciÃ³n Generales.pdf,True,Descargado: 2025-2026 Criterios de CorrecciÃ³n Generales.pdf
Física,Uso de calculadoras permitidas (2025-2026),pdf,https://www.uc3m.es/pruebasacceso/media/pruebasacceso/doc/archivo/doc_calculadoras/calculadoras-permitidas-v2.docx-2.pdf,fisica,Calculadoras+permitidas+v2.docx+(2).pdf,True,Descargado: Calculadoras+permitidas+v2.docx+(2).pdf
