pagina,texto,tipo,url,output_dir,archivo,ok,mensaje
Quimica,Química 2025-2026,gdrive,https://drive.google.com/file/d/15p8qQlJrEbjuLGLKlP6rQz37CHhC5Fdr/view?usp=drive_link,quimica,2025-2026 Modelo examen QuÃ­mica.pdf,True,Descargado: 2025-2026 Modelo examen QuÃ­mica.pdf
Quimica,Química 2024-2025,gdrive,https://drive.google.com/file/d/1GYcsLS6ZEc9Pd6gslQm0JW4U9x2k_k9W/view?usp=drive_link,quimica,2024-2025 Modelo examen QuÃ­mica.pdf,True,Descargado: 2024-2025 Modelo examen QuÃ­mica.pdf
Quimica,Química 2023-2024,gdrive,https://drive.google.com/file/d/1bxI5Y8srnl7kG4k-0fRiVjSozkVODwit/view?usp=sharing,quimica,2023-2024 Modelo examen QuÃ­mica.pdf,True,Descargado: 2023-2024 Modelo examen QuÃ­mica.pdf
Quimica,Química 2022-2023,gdrive,https://drive.google.com/file/d/1SY2F_3kSbD1c6yG9xFe5YIQaSWHo8k32/view?usp=sharing,quimica,2022-2023 Modelo examen QuÃ­mica.pdf,True,Descargado: 2022-2023 Modelo examen QuÃ­mica.pdf
Quimica,Química 2021-2022,gdrive,https://drive.google.com/file/d/1Xy8JgI3jxgTfK6jAFUqX3N0Xta86ClT9/view?usp=sharing,quimica,2021-2022 Modelo examen QuÃ­mica.pdf,True,Descargado: 2021-2022 Modelo examen QuÃ­mica.pdf
Quimica,Química 2020-2021,gdrive,https://drive.google.com/file/d/1ywHidf2-qtAy9Janj1TnvAQLEZ35kah8/view?usp=sharing,quimica,2020-2021 Modelo examen QuiÌmica.pdf,True,Descargado: 2020-2021 Modelo examen QuiÌmica.pdf
Quimica,Química 2019-2020,gdrive,https://drive.google.com/file/d/1bnofnm89Q9wdcNis87nM8lX-DgSWZ503/view?usp=sharing,quimica,2019-2020 Modelos examen QuiÌmica.pdf,True,Descargado: 2019-2020 Modelos examen QuiÌmica.pdf
Quimica,Química 2018-2019,gdrive,https://drive.google.com/file/d/1DdoCq7pLAyU6KWqLi6k2uYxqJu3_asuT/view?usp=sharing,quimica,2018-2019 Modelo examen QuiÌmica.pdf,True,Descargado: 2018-2019 Modelo examen QuiÌmica.pdf
Quimica,Química 2017-2018,gdrive,https://drive.google.com/file/d/1Yew7M1IagScBABlAuAkNsnH3Q9fa-3tH/view?usp=sharing,quimica,2017-2018 Modelo examen QuiÌmica.pdf,True,Descargado: 2017-2018 Modelo examen QuiÌmica.pdf
Quimica,Química 2024-2025,gdrive,https://drive.google.com/file/d/1tPmrFX60RkaraggNed_xo3L-JYKB_sfW/view?usp=drive_link,quimica,2024-2025 Ordinaria Soluciones QuÃ­mica.pdf,True,Descargado: 2024-2025 Ordinaria Soluciones QuÃ­mica.pdf
Quimica,Química 2023-2024,gdrive,https://drive.google.com/file/d/1jyTZ0JAEqI-IVeavPyDioriB2hMEtHf3/view?usp=drive_link,quimica,2023-2024 Ordinaria Soluciones QuÃ­mica.pdf,True,Descargado: 2023-2024 Ordinaria Soluciones QuÃ­mica.pdf
Quimica,Química 2022-2023 coincidencias,gdrive,https://drive.google.com/file/d/1CZpMDq8PN1d-3sVNcBfCjb7LiCe__aNp/view?usp=drive_link,quimica,2022-2023 Ordinaria Soluciones QuÃ­mica coincidencias.pdf,True,Descargado: 2022-2023 Ordinaria Soluciones QuÃ­mica coincidencias.pdf
Quimica,Química 2022-2023,gdrive,https://drive.google.com/file/d/17FVDRgBiEtlln0_A1CJbYJIsS7tLX_u5/view?usp=drive_link,quimica,2022-2023 Ordinaria Soluciones QuÃ­mica.pdf,True,Descargado: 2022-2023 Ordinaria Soluciones QuÃ­mica.pdf
Quimica,Química 2021-2022,gdrive,https://drive.google.com/file/d/1M0YTerQm9Si1koWv405OqE-cNFp3S9gF/view?usp=drive_link,quimica,2021-2022 Ordinaria Soluciones QuÃ­mica.pdf,True,Descargado: 2021-2022 Ordinaria Soluciones QuÃ­mica.pdf
Quimica,Química 2020-2021,gdrive,https://drive.google.com/file/d/1sAJV9azht0Li0kf_7LOHFgfjW2F8OUTm/view?usp=sharing,quimica,2020-2021 Ordinaria Soluciones QuiÌmica.pdf,True,Descargado: 2020-2021 Ordinaria Soluciones QuiÌmica.pdf
